Column1,0,1,2,3,4,Cluster
68,3.6,17.421,-94.6602,141.3,264613.0,3
69,3.6,16.733,-95.3083,83.9,266099.0,21
70,4.2,15.1263,-93.8287,17.1,266977.0,19
71,3.5,16.9847,-94.6848,12.2,268007.0,30
72,3.9,14.945,-92.8197,95.8,270635.0,16
73,3.3,17.011,-94.8118,113.4,270712.0,7
74,3.8,16.2632,-96.2967,27.4,281888.0,12
75,4.2,13.7317,-92.1535,17.0,288474.0,13
76,3.8,15.554,-93.7705,83.7,290710.0,25
77,3.6,16.0498,-95.575,27.3,306747.0,8
78,3.7,17.463,-94.7977,141.7,309741.0,24
79,3.9,15.9467,-95.1628,40.5,310048.0,9
80,4.3,17.2528,-94.5242,138.7,323817.0,28
81,3.8,16.2095,-94.37,86.2,342220.0,20
82,3.4,16.624000000000002,-94.1522,119.5,344818.0,30
83,3.6,16.6962,-94.525,106.6,346484.0,24
84,3.8,15.6443,-92.9037,121.7,356071.0,31
85,3.3,17.6805,-93.8133,16.1,358000.0,2
86,4.0,14.735999999999999,-94.5538,19.7,361605.0,15
87,3.7,15.7965,-94.1908,16.3,361670.0,11
88,3.6,15.9523,-95.7562,64.4,367642.0,7
89,3.5,16.3633,-93.7073,71.3,371704.0,8
90,3.6,16.5453,-96.367,32.0,381543.0,22
91,3.1,15.9325,-97.1207,15.1,385108.0,32
92,3.8,17.0215,-94.17299999999999,137.7,389389.0,6
93,4.6,14.8533,-94.236,16.0,391882.0,8
94,4.0,14.8352,-94.2668,15.0,392401.0,19
95,3.9,17.3988,-94.9567,133.6,407064.0,30
96,4.0,15.6898,-94.2448,67.2,416510.0,12
97,3.5,17.4302,-94.5372,140.9,418382.0,17
98,3.3,16.139,-97.2168,35.4,421260.0,10
99,3.6,16.4393,-93.6917,76.5,440231.0,20
100,3.3,16.2108,-97.2188,34.1,440433.0,24
101,3.4,16.371,-93.7095,70.1,450406.0,20
102,3.9,15.7807,-93.7927,95.9,450630.0,16
103,4.1,17.2003,-94.5812,132.3,462893.0,33
104,4.2,15.1158,-93.2462,30.0,484809.0,19
105,3.6,16.0142,-94.5302,73.2,490808.0,21
106,4.1,14.2457,-92.6235,11.8,503812.0,29
107,4.7,14.8583,-94.1578,24.8,520749.0,17
108,3.8,14.7753,-94.1315,16.3,524620.0,11
109,3.5,15.9592,-95.855,68.4,526240.0,34
110,3.5,15.6108,-96.406,22.1,527075.0,30
111,3.7,16.8843,-94.9513,117.3,527553.0,14
112,3.6,15.8658,-94.9578,16.0,529983.0,8
113,3.7,16.373,-95.3808,29.2,531339.0,19
114,3.5,16.7488,-95.0397,98.6,532080.0,10
115,3.5,15.9208,-96.8205,39.6,544142.0,20
116,3.8,15.5748,-93.6012,72.8,547350.0,7
117,3.6,16.8787,-94.8192,109.6,548698.0,25
118,3.6,16.8858,-93.8227,159.8,551461.0,33
119,4.0,16.6265,-94.8195,105.1,551714.0,26
120,3.6,16.8052,-94.18,128.9,557497.0,13
